title,link,job_description,published,companyName,companyLocation
,,"
From the initial architecture stage all the way to manufacturing support, Mistral provides hardware design services for embedded product development which…
",Posted30+ days ago,Mistral Solutions,"Bengaluru, Karnataka"
,,"
Work with architects, product owners, product managers, and application engineers to define deliverables, estimate effort, and ensure on-time delivery.
",PostedJust posted,Siemens,"Pune, Maharashtra"
Engineer,https://in.indeed.com/rc/clk?jk=61f928bca1f1188d&fccid=7cb2f2a8d7f35bee&vjs=3,"
As a Python Engineer, you’ll be part of a team of smart, highly skilled technologists who are passionate about learning and prototyping cutting-edge…
",Posted3 days ago,NielsenIQ,"Chennai, Tamil Nadu"
MLOps Engineer,https://in.indeed.com/rc/clk?jk=5599a54864234f32&fccid=6f4771f8df9be0f8&vjs=3,"
As a Machine Learning Ops (MLOps) engineer, you will be responsible for building and maintaining the next generation of Vimaan’s ML Platform and Infrastructure.
",Posted30+ days ago,Vimaan Robotics,"Remote in Bengaluru, Karnataka"
Software engineer,https://in.indeed.com/rc/clk?jk=72348d01149e881b&fccid=8e2bbd18f538e82f&vjs=3,"
Help build intelligent systems to cleanse and record-link healthcare data from over 200 sources.
Build and maintain systems to manage various applications built…
",Posted22 days ago,Compile,"Bengaluru, Karnataka"
Software Engineer II - Data & ML Engineer,https://in.indeed.com/rc/clk?jk=19da22733e2ab5dd&fccid=734cb5a01ee60f80&vjs=3,"
We are Microsoft Teams 'Search Relevance' team and focused on improving the overall search experience in Teams.
3-5 years of experience in Software Development.
",Posted30+ days ago,Microsoft,"Bengaluru, Karnataka"
Machine Learning Engineer - ASR / Automatic Speech Recogniti...,https://in.indeed.com/rc/clk?jk=88b0013d2b2020c7&fccid=34a307d555f04368&vjs=3,"
In most cases, you will have the opportunity to choose your preferred working location from the following options when you join Zoom: in-person, hybrid or…
",Posted6 days ago,Zoom,Remote in India
R&D Engineer,https://in.indeed.com/rc/clk?jk=53b1cba7143102af&fccid=3444e7c94299ba32&vjs=3,"
Come create the technology that helps the world act together.
Nokia is committed to innovation and technology leadership across mobile, fixed and cloud networks…
",Posted1 day ago,NOKIA,"Bengaluru, Karnataka"
"Software Engineer, Machine Learning",https://in.indeed.com/rc/clk?jk=9fb7508521fcbad5&fccid=684e6a45ec99d64b&vjs=3,"
We are all tired of waiting in line.
With the convenience of online shopping and delivery services for every type of business everywhere, shoppers are demanding…
",Posted30+ days ago,Zippin,Remote in India
ML Engineer,https://in.indeed.com/rc/clk?jk=e348293482b3feaa&fccid=f3037b492bfba40b&vjs=3,"
5 Years Embedded Software engineer job.
Jobs- Full Time Excellent knowledge in different deep learning practices (CNN, RNN, LTSM, Reinforcement Learning, SSD,…
",Posted30+ days ago,Appriffy-Digital IT Hub,"Bengaluru, Karnataka"
AI/ML Engineer,https://in.indeed.com/rc/clk?jk=f713fa25dbc43942&fccid=d25f7db9b3fdc0cc&vjs=3,"
We are hiring AI/ML Engineer to join our team.
We are looking for a specialist in Aritificial Intelligence who can develop new solutions using the latest…
",Posted30+ days ago,dMACQ Software,"Mumbai, Maharashtra"
Senior Engineer - Projects (SW),https://in.indeed.com/rc/clk?jk=fc492e3fdacf9b24&fccid=8dc4399ddb463d4a&vjs=3,"
Writing well designed, testable, reusable, efficient code using Python, C# and Java.
Experience in Research and Development processes in implementing and…
",Posted3 days ago,Schneider Electric,"Chennai, Tamil Nadu"
Machine Learning Engineer | Contractual | WFH,https://in.indeed.com/rc/clk?jk=a5be2ae6c2adc134&fccid=77087bd1709a8148&vjs=3,"
Consult with internal and external stake holders to understand the problem.
Build appropriate products and solutions using appropriate machine learning.
",Posted15 days ago,Michael Page,Remote in India
R&D Engineer,https://in.indeed.com/rc/clk?jk=36ad2985911b0a8c&fccid=3a5d1c4f3eb865d2&vjs=3,"
We have position for Research & Development Engineer at Bridgetree to support building of early stage proof of concepts / prototype systems in areas such as IOT…
",Posted30+ days ago,Bridgetree,"Bengaluru, Karnataka"
Devops Engineer I,https://in.indeed.com/rc/clk?jk=e79ce7ef47700e2c&fccid=3d3aca135420e85d&vjs=3,"
Build your own ideas with a team of innovative and top caliber computer scientists, engineers and ML experts in a fun environment.
",Posted30+ days ago,Phenom People,"Hyderabad, Telangana"
"Cloud Technical Solutions Engineer, AI/ML, Google Cloud",https://in.indeed.com/rc/clk?jk=c319ca071d289dcb&fccid=a5b4499d9e91a5c6&vjs=3,"
Act as subject matter expert for internal stakeholders in engineering, sales, and customer organizations to resolve technical deployment obstacles to improve…
",Posted30+ days ago,Google,"Bengaluru, Karnataka"
Associate Software Engineer,https://in.indeed.com/rc/clk?jk=31156f95b6c9eaff&fccid=461adc1482493c3e&vjs=3,"
We are an expert team of 500+ leading strategic thinkers, digital marketing and creative masters, data analysts, software engineers, and process optimization…
",Posted3 days ago,HGS,"Bengaluru, Karnataka"
,,"
Contribute towards building data pipelines in AWS, utilizing a variety of services.
Contribute to data strategy for our clients through research into best…
",Posted30+ days ago,OptiSol,"Chennai, Tamil Nadu"
,,"
As a Sr Product Support Engineer, CSE, you will be responsible for responding to, remediating, and working to resolve escalated incidents on behalf of the…
",Posted30+ days ago,Nike,"Bengaluru, Karnataka"
,,"
10+ years of proven experience in designing, implementing and delivering complex, scalable and resilient platform and services.
",PostedJust posted,Apple,"Hyderabad, Telangana"
,,"
Overall Project management & status report out to support new model studies & facility planning by meeting the customer expectations on Quality and timing of…
",Posted30+ days ago,Ford Global Business Services,"Chennai, Tamil Nadu"
,,"
OptiSol Full Stack Team engineers award winning cloud native applications to our worldwide customers.
In depth knowledge of JavaScript and Typescript is must.
",Posted30+ days ago,OptiSol,"Chennai, Tamil Nadu"
,,"
If Java skilled - more of Integration engineers not ML engineers.
The role requires working with ML engineers to productionalize the code.
",Posted6 days ago,Iron Mountain,"Bengaluru, Karnataka"
,,"
Strong experience in building Machine Learning, Deep Learning and AI systems.
Strong knowledge of Python/Java/Scala, etc.
",Posted9 days ago,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka"
,,"
Passion for working with and mentoring engineers.
Work multi-functionally with product managers, data scientists, and engineers to deliver high quality products…
",Posted30+ days ago,Bluecore,Remote
,,"
Successful candidates are intellectually curious builders and active learners who are biased toward action, new problem solving.
",Posted1 day ago,NielsenIQ,"Pune, Maharashtra"
,,"
We are looking for a Developer (preferable python) responsible for Application and API integration and managing the interchange of data between the server and…
",Posted10 days ago,Applied Materials,"Bengaluru, Karnataka"
,,"
If you also have knowledge of data science and software engineering, we’d like to meet you.
Development experience with one or more ML/DL frameworks like…
",Posted16 days ago,Sutherland,"Chennai, Tamil Nadu"
,,"
As our most senior technologist, you'll collaborate with senior-level stakeholders in formulating the ML product roadmap, and with various Data Science and…
",Posted30+ days ago,GO-JEK,"Bengaluru, Karnataka"
,,"
Implement analytical models into production by collaborating with software developers and machine learning engineers.
Bachelor’s degree in computer science.
",Posted30+ days ago,Happymonk Technology,"Bengaluru, Karnataka"
,,"
Should possess 1+ years of relevant experience in Telecom domain.
Good understanding of 5G/4G/3G technologies and the network call flow.
",Posted2 days ago,NOKIA,"Chennai, Tamil Nadu+1 location"
,,"
Need to interact with the verification engineers proactively.
Need to interact with the verification engineers proactively.
Micro-architect of sub-block design.
",Posted1 day ago,Qcom,"Bengaluru, Karnataka"
,,"
Create formal test plans and test reports and ensures they have the correct approvals.
Coaches and mentors test team members the importance of testing.
",Posted1 day ago,BOEING,"Bengaluru, Karnataka"
,,"
We are looking for software engineers with a machine learning or compiler background who will help us build these software platforms.
",Posted30+ days ago,52 Qualcomm India Private Limited,"Hyderabad, Telangana"
,,"
XenonStack’s Artificial intelligence team is looking for a passionate Machine Learning Ops Engineer to help us discover and implement state-of-the-art solutions…
",Posted30+ days ago,XenonStack,"Chandigarh, Chandigarh"
